File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,,,,,,,,
contiki 3.0/apps/ping6/ping6.c,92,5,4,buffer,scanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function",,"CWE-120, CWE-20","    scanf(""%s"", command);",afbbfbe50ed79090490df46f9686822738867ed6bfab6ccae89b40311d96fca7,,,,,,,,
contiki 3.0/apps/rest-engine/rest-engine.c,48,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/shell/shell-base64.c,46,5,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"int snprintf(char *str, size_t size, const char *format, ...);",7061416e5d0f537bc10bca1fbfefa3c4ede25b4c50fcbea5a3ebbdde360ce31b,,,,,,,,
contiki 3.0/apps/shell/shell-crc.c,58,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/shell/shell-download.c,61,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/shell/shell-netperf.c,49,5,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"int snprintf(char *str, size_t size, const char *format, ...);",7061416e5d0f537bc10bca1fbfefa3c4ede25b4c50fcbea5a3ebbdde360ce31b,,,,,,,,
contiki 3.0/apps/shell/shell-profile.c,64,5,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"    sprintf(buf, ""-- %s: %lu / %u = %lu"", aggregates[i].ptr,",ae8e73aa56314b55b25416e9525a61492aca07b5194a3da3981b8786e288f780,,,,,,,,
contiki 3.0/apps/shell/shell-rime-debug-runicast.c,56,5,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"int snprintf(char *str, size_t size, const char *format, ...);",7061416e5d0f537bc10bca1fbfefa3c4ede25b4c50fcbea5a3ebbdde360ce31b,,,,,,,,
contiki 3.0/apps/shell/shell-rime-debug.c,56,5,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"int snprintf(char *str, size_t size, const char *format, ...);",7061416e5d0f537bc10bca1fbfefa3c4ede25b4c50fcbea5a3ebbdde360ce31b,,,,,,,,
contiki 3.0/apps/shell/shell-rime-netcmd.c,61,5,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"int snprintf(char *str, size_t size, const char *format, ...);",7061416e5d0f537bc10bca1fbfefa3c4ede25b4c50fcbea5a3ebbdde360ce31b,,,,,,,,
contiki 3.0/apps/shell/shell-rime-netcmd.c,128,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"    strcpy(msg->netcmd, data);",3d36ba7b0a442faf7beffe3326909971d6d49f150850ebc04e68d6743bc805c4,,,,,,,,
contiki 3.0/apps/shell/shell-rime-ping.c,47,5,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"int snprintf(char *str, size_t size, const char *format, ...);",7061416e5d0f537bc10bca1fbfefa3c4ede25b4c50fcbea5a3ebbdde360ce31b,,,,,,,,
contiki 3.0/apps/shell/shell-rime-sendcmd.c,53,5,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"int snprintf(char *str, size_t size, const char *format, ...);",7061416e5d0f537bc10bca1fbfefa3c4ede25b4c50fcbea5a3ebbdde360ce31b,,,,,,,,
contiki 3.0/apps/shell/shell-rime-sendcmd.c,132,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy(msg->sendcmd, nextptr);",b4f0a46ae58ec126b6161f55f2617b78c80d4e48cb83716ec34402cb08e847fc,,,,,,,,
contiki 3.0/apps/shell/shell-rime-unicast.c,56,5,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"int snprintf(char *str, size_t size, const char *format, ...);",7061416e5d0f537bc10bca1fbfefa3c4ede25b4c50fcbea5a3ebbdde360ce31b,,,,,,,,
contiki 3.0/apps/shell/shell-rime.c,61,5,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"int snprintf(char *str, size_t size, const char *format, ...);",7061416e5d0f537bc10bca1fbfefa3c4ede25b4c50fcbea5a3ebbdde360ce31b,,,,,,,,
contiki 3.0/apps/shell/shell-sendtest.c,51,5,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"int snprintf(char *str, size_t size, const char *format, ...);",7061416e5d0f537bc10bca1fbfefa3c4ede25b4c50fcbea5a3ebbdde360ce31b,,,,,,,,
contiki 3.0/apps/shell/shell-sky.c,203,7,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"      snprintf(buf, sizeof(buf), /* 819 = 4096 / 5 */",3ddf297f7e7d54069b9da5884a0299062d15d4d8a6802f382bb92deb6b8881bb,,,,,,,,
contiki 3.0/apps/shell/shell-text.c,46,5,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"int snprintf(char *str, size_t size, const char *format, ...);",7061416e5d0f537bc10bca1fbfefa3c4ede25b4c50fcbea5a3ebbdde360ce31b,,,,,,,,
contiki 3.0/apps/telnet/simpletelnet.c,232,2,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"	strcpy(sendline, telnetline);",39b1e070c4518db547ca65195031b3fae96cd4cce095b2f60cc7fde8ce186aea,,,,,,,,
contiki 3.0/apps/telnetd/telnetd.c,96,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/webbrowser/htmlparser.c,75,19,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(x) printf x,36ba0456388912e25914b52f39d12efc99c9fa7cac7ae21957db7ede96bd00ef,,,,,,,,
contiki 3.0/apps/webbrowser/htmlparser.c,430,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(s.linkurl, s.tagattrparam);",f89a192164a7a5d73909f78cbd85360a7dc64b387876cd93c3ce70b4274cd169,,,,,,,,
contiki 3.0/apps/webbrowser/www.c,57,19,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(x) printf x,36ba0456388912e25914b52f39d12efc99c9fa7cac7ae21957db7ede96bd00ef,,,,,,,,
contiki 3.0/apps/webbrowser/www.c,624,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"    strcpy(urlptr, host);",f6f44e572a6283a70017f9b8ef6e4071fad6ddb0df77d89e869aee13d0f6e144,,,,,,,,
contiki 3.0/apps/webbrowser/www.c,626,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"    strcpy(urlptr, file);",f0d5a8e59dbfd87dff536af832c2e8c671f9e23a0b93a2c2549d913d6a684ede,,,,,,,,
contiki 3.0/apps/webbrowser/www.c,705,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(webpage + WWW_CONF_WEBPAGE_WIDTH * 5,",3c850e30e09954016ac6caabf44e2a8dc010816cb31bb59172db1f8c9d1d8df7,,,,,,,,
contiki 3.0/apps/webbrowser/www.c,708,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(webpage + WWW_CONF_WEBPAGE_WIDTH * 6,",212f4c28bd5f5efa16d501f7db06e0857e1bed4ca33d0652f8e4f9623906b626,,,,,,,,
contiki 3.0/apps/webbrowser/www.c,784,2,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"	strcpy(linkptr->url, attrib);",897d5c6c4717c579424a133e799cff2558baa90d20ad58214baa2aa911ac01e7,,,,,,,,
contiki 3.0/apps/webbrowser/www.c,798,2,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"	strcpy(submitptr->name, attrib);",6247eacf1c58991d784562bc5d1b5b9408b71f492a2b4fc294d7158cd8f1cafb,,,,,,,,
contiki 3.0/apps/webbrowser/www.c,814,2,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"	strcpy(textptr->textentry.text, text);",f6ff2a188ec3a35943e4044816608b14a1e4ce8f5ddf20301317e4e990ff2e6f,,,,,,,,
contiki 3.0/apps/webbrowser/www.c,815,2,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"	strcpy(textptr->name, attrib);",e6f5d44ed48ce4b0b3b3c9677dcbecc0150347ce0bce1015e4282d7108100bba,,,,,,,,
contiki 3.0/apps/webbrowser/www.c,918,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"    strcpy(formptr->action, action);",407115471068b52f3ea0cc85a85130abec2717f03cd89dd0bfb37eb8f03c9d25,,,,,,,,
contiki 3.0/apps/webbrowser/www.c,954,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy(query, string);",38b806aa8d9ce8b301a1507bf04c35b314357da77e931296ea608db5b623b083,,,,,,,,
contiki 3.0/apps/webserver-nano/httpd-cfs.c,37,5,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"int snprintf(char *str, size_t size, const char *format, ...);",7061416e5d0f537bc10bca1fbfefa3c4ede25b4c50fcbea5a3ebbdde360ce31b,,,,,,,,
contiki 3.0/apps/webserver-nano/httpd-cgi.c,147,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy(sensor_temperature, s);",44ea6b05c6bcb613e2dad81af9a7aa83d940713c4624cdad60355a64f0d25aee,,,,,,,,
contiki 3.0/apps/webserver-nano/httpd-cgi.c,154,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy(sensor_extvoltage, s);",06053fa37a7efac2bf20967b99fe7ee9bdf8722108772d3c8acee6b786aac134,,,,,,,,
contiki 3.0/apps/webserver-nano/httpd.h,259,32,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"#define PRINTA(FORMAT,args...) printf(FORMAT,##args)",2f1978ccf1439f384519743425ccdbb2101001682c566e068293a3ccfbd9e1c7,,,,,,,,
contiki 3.0/apps/webserver-nano/httpd.h,260,30,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,#define httpd_snprintf       snprintf,1ce2adca7edaaa1d09572969f4ab62e87fa68a122d3f0b96e9c0739ef0efee8e,,,,,,,,
contiki 3.0/apps/webserver-nano/httpd.h,263,30,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,#define httpd_strcpy         strcpy,689f8a0a4e87b347356e407f54d684da7825278d01348a4c81c6543e0bde2ecb,,,,,,,,
contiki 3.0/apps/webserver-nano/urlconv.c,142,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"    strcpy(to, http_index_htm);  // add index.htm",286b755e4fb1c9aa9e1315b9b5937ad9cbf9a3cdb2bcec3483c0b770b358942f,,,,,,,,
