File,Name,CWEs,Category
include/sys/fdtable.h,read,"CWE-120, CWE-20",buffer
include/sys/rb.h,char,CWE-119,buffer
include/toolchain/gcc.h,printf,CWE-134,format
kernel/device.c,char,CWE-119,buffer
kernel/init.c,memcpy,CWE-120,buffer
kernel/init.c,memcpy,CWE-120,buffer
kernel/init.c,memcpy,CWE-120,buffer
kernel/init.c,memcpy,CWE-120,buffer
kernel/init.c,memcpy,CWE-120,buffer
kernel/mailbox.c,memcpy,CWE-120,buffer
kernel/mempool.c,memcpy,CWE-120,buffer
kernel/msg_q.c,memcpy,CWE-120,buffer
kernel/msg_q.c,memcpy,CWE-120,buffer
kernel/msg_q.c,memcpy,CWE-120,buffer
kernel/msg_q.c,memcpy,CWE-120,buffer
kernel/msg_q.c,memcpy,CWE-120,buffer
kernel/poll.c,memcpy,CWE-120,buffer
kernel/poll.c,memcpy,CWE-120,buffer
kernel/thread.c,strncpy,CWE-120,buffer
kernel/thread.c,strncpy,CWE-120,buffer
kernel/thread.c,strlen,CWE-126,buffer
kernel/thread.c,strncpy,CWE-120,buffer
kernel/userspace.c,memcpy,CWE-120,buffer
kernel/userspace.c,memcpy,CWE-120,buffer
lib/cmsis_rtos_v2/event_flags.c,strncpy,CWE-120,buffer
lib/cmsis_rtos_v2/event_flags.c,strncpy,CWE-120,buffer
lib/cmsis_rtos_v2/kernel.c,snprintf,CWE-134,format
lib/cmsis_rtos_v2/mempool.c,strncpy,CWE-120,buffer
lib/cmsis_rtos_v2/mempool.c,strncpy,CWE-120,buffer
lib/cmsis_rtos_v2/msgq.c,strncpy,CWE-120,buffer
lib/cmsis_rtos_v2/msgq.c,strncpy,CWE-120,buffer
lib/cmsis_rtos_v2/mutex.c,strncpy,CWE-120,buffer
lib/cmsis_rtos_v2/mutex.c,strncpy,CWE-120,buffer
lib/cmsis_rtos_v2/semaphore.c,strncpy,CWE-120,buffer
lib/cmsis_rtos_v2/semaphore.c,strncpy,CWE-120,buffer
lib/cmsis_rtos_v2/thread.c,strncpy,CWE-120,buffer
lib/cmsis_rtos_v2/thread.c,strncpy,CWE-120,buffer
lib/cmsis_rtos_v2/timer.c,strncpy,CWE-120,buffer
lib/cmsis_rtos_v2/timer.c,strncpy,CWE-120,buffer
lib/cmsis_rtos_v2/wrapper.h,char,CWE-119,buffer
lib/cmsis_rtos_v2/wrapper.h,char,CWE-119,buffer
lib/cmsis_rtos_v2/wrapper.h,char,CWE-119,buffer
lib/cmsis_rtos_v2/wrapper.h,char,CWE-119,buffer
lib/cmsis_rtos_v2/wrapper.h,char,CWE-119,buffer
lib/cmsis_rtos_v2/wrapper.h,char,CWE-119,buffer
lib/cmsis_rtos_v2/wrapper.h,char,CWE-119,buffer
lib/libc/minimal/include/fcntl.h,open,CWE-362,misc
lib/libc/minimal/include/stdio.h,printf,CWE-134,format
lib/libc/minimal/include/stdio.h,snprintf,CWE-134,format
lib/libc/minimal/include/stdio.h,sprintf,CWE-134,format
lib/libc/minimal/include/stdio.h,fprintf,CWE-134,format
lib/libc/minimal/include/stdio.h,vprintf,CWE-134,format
lib/libc/minimal/include/stdio.h,vsnprintf,CWE-134,format
lib/libc/minimal/include/stdio.h,vsprintf,CWE-134,format
lib/libc/minimal/include/stdio.h,vfprintf,CWE-134,format
lib/libc/minimal/include/stdlib.h,atoi,CWE-190,integer
lib/libc/minimal/include/string.h,strcpy,CWE-120,buffer
lib/libc/minimal/include/string.h,strcat,CWE-120,buffer
lib/libc/minimal/include/string.h,memcpy,CWE-120,buffer
lib/libc/minimal/include/string.h,strncpy,CWE-120,buffer
lib/libc/minimal/include/string.h,strlen,CWE-126,buffer
lib/libc/minimal/include/string.h,strncat,CWE-120,buffer
lib/libc/minimal/source/stdlib/atoi.c,atoi,CWE-190,integer
lib/libc/minimal/source/stdlib/malloc.c,memcpy,CWE-120,buffer
lib/libc/minimal/source/stdout/fprintf.c,fprintf,CWE-134,format
lib/libc/minimal/source/stdout/fprintf.c,vfprintf,CWE-134,format
lib/libc/minimal/source/stdout/fprintf.c,printf,CWE-134,format
lib/libc/minimal/source/stdout/fprintf.c,vprintf,CWE-134,format
lib/libc/minimal/source/stdout/prf.c,char,CWE-119,buffer
lib/libc/minimal/source/stdout/sprintf.c,snprintf,CWE-134,format
lib/libc/minimal/source/stdout/sprintf.c,sprintf,CWE-134,format
lib/libc/minimal/source/stdout/sprintf.c,vsnprintf,CWE-134,format
lib/libc/minimal/source/stdout/sprintf.c,vsprintf,CWE-134,format
lib/libc/minimal/source/stdout/stdout_console.c,strlen,CWE-126,buffer
lib/libc/minimal/source/string/string.c,strcpy,CWE-120,buffer
lib/libc/minimal/source/string/string.c,strcat,CWE-120,buffer
lib/libc/minimal/source/string/string.c,strcpy,CWE-120,buffer
lib/libc/minimal/source/string/string.c,memcpy,CWE-120,buffer
lib/libc/minimal/source/string/string.c,strncpy,CWE-120,buffer
lib/libc/minimal/source/string/string.c,strlen,CWE-126,buffer
lib/libc/minimal/source/string/string.c,strlen,CWE-126,buffer
lib/libc/minimal/source/string/string.c,strncat,CWE-120,buffer
lib/libc/minimal/source/string/string.c,strlen,CWE-126,buffer
lib/libc/minimal/source/string/strstr.c,strlen,CWE-126,buffer
lib/libc/newlib/libc-hooks.c,char,CWE-119,buffer
lib/libc/newlib/libc-hooks.c,open,CWE-362,misc
lib/libc/newlib/libc-hooks.c,read,"CWE-120, CWE-20",buffer
lib/os/fdtable.c,read,"CWE-120, CWE-20",buffer
lib/os/fdtable.c,read,"CWE-120, CWE-20",buffer
lib/os/fdtable.c,read,"CWE-120, CWE-20",buffer
lib/os/json.c,char,CWE-119,buffer
lib/os/json.c,char,CWE-119,buffer
lib/os/json.c,memcpy,CWE-120,buffer
lib/os/printk.c,char,CWE-119,buffer
lib/os/ring_buffer.c,memcpy,CWE-120,buffer
lib/os/ring_buffer.c,memcpy,CWE-120,buffer
lib/posix/fs.c,open,CWE-362,misc
lib/posix/fs.c,memcpy,CWE-120,buffer
lib/posix/fs.c,strlen,CWE-126,buffer
lib/posix/mqueue.c,strcpy,CWE-120,buffer
lib/posix/mqueue.c,strlen,CWE-126,buffer
lib/posix/mqueue.c,strlen,CWE-126,buffer
lib/posix/mqueue.c,strlen,CWE-126,buffer
lib/posix/pthread.c,memcpy,CWE-120,buffer
lib/posix/sleep.c,usleep,CWE-676,obsolete
lib/updatehub/updatehub_device.c,char,CWE-119,buffer
lib/updatehub/updatehub_device.c,strlen,CWE-126,buffer
lib/updatehub/updatehub_device.c,strncat,CWE-120,buffer
lib/updatehub/updatehub_priv.h,char,CWE-119,buffer
lib/updatehub/updatehub.c,char,CWE-119,buffer
lib/updatehub/updatehub.c,char,CWE-119,buffer
lib/updatehub/updatehub.c,char,CWE-119,buffer
lib/updatehub/updatehub.c,char,CWE-119,buffer
lib/updatehub/updatehub.c,char,CWE-119,buffer
lib/updatehub/updatehub.c,char,CWE-119,buffer
lib/updatehub/updatehub.c,memcpy,CWE-120,buffer
lib/updatehub/updatehub.c,memcpy,CWE-120,buffer
