File,Name,CWEs
kernel/msg_q.c,memcpy,CWE-120
kernel/poll.c,memcpy,CWE-120
kernel/poll.c,memcpy,CWE-120
kernel/thread.c,strncpy,CWE-120
kernel/thread.c,strncpy,CWE-120
kernel/thread.c,strlen,CWE-126
kernel/thread.c,strncpy,CWE-120
kernel/userspace.c,memcpy,CWE-120
kernel/userspace.c,memcpy,CWE-120
lib/cmsis_rtos_v2/event_flags.c,strncpy,CWE-120
lib/cmsis_rtos_v2/event_flags.c,strncpy,CWE-120
lib/cmsis_rtos_v2/kernel.c,snprintf,CWE-134
lib/cmsis_rtos_v2/mempool.c,strncpy,CWE-120
lib/cmsis_rtos_v2/mempool.c,strncpy,CWE-120
lib/cmsis_rtos_v2/msgq.c,strncpy,CWE-120
lib/cmsis_rtos_v2/msgq.c,strncpy,CWE-120
lib/cmsis_rtos_v2/mutex.c,strncpy,CWE-120
lib/cmsis_rtos_v2/mutex.c,strncpy,CWE-120
lib/cmsis_rtos_v2/semaphore.c,strncpy,CWE-120
lib/cmsis_rtos_v2/semaphore.c,strncpy,CWE-120
lib/cmsis_rtos_v2/thread.c,strncpy,CWE-120
lib/cmsis_rtos_v2/thread.c,strncpy,CWE-120
lib/cmsis_rtos_v2/timer.c,strncpy,CWE-120
lib/cmsis_rtos_v2/timer.c,strncpy,CWE-120
lib/cmsis_rtos_v2/wrapper.h,char,CWE-119
lib/cmsis_rtos_v2/wrapper.h,char,CWE-119
lib/cmsis_rtos_v2/wrapper.h,char,CWE-119
lib/cmsis_rtos_v2/wrapper.h,char,CWE-119
lib/cmsis_rtos_v2/wrapper.h,char,CWE-119
lib/cmsis_rtos_v2/wrapper.h,char,CWE-119
lib/cmsis_rtos_v2/wrapper.h,char,CWE-119
lib/libc/minimal/include/fcntl.h,open,CWE-362
lib/libc/minimal/include/stdio.h,printf,CWE-134
lib/libc/minimal/include/stdio.h,snprintf,CWE-134
lib/libc/minimal/include/stdio.h,sprintf,CWE-134
